kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 94 : 50000 680752 0 0 0 0 0 0 0 
_1.ptx 95 : 50000 356000 0 0 0 0 0 0 0 
_1.ptx 96 : 50000 586288 0 0 0 0 0 0 0 
_1.ptx 97 : 50000 678288 0 0 0 0 0 0 0 
_1.ptx 98 : 50000 370912 0 0 0 0 0 0 0 
_1.ptx 99 : 50000 589296 0 0 0 0 0 0 0 
_1.ptx 100 : 50000 680816 0 0 0 0 0 0 0 
_1.ptx 101 : 50000 598192 0 0 0 0 0 0 0 
_1.ptx 102 : 50000 381952 0 0 0 0 0 0 0 
_1.ptx 103 : 50000 600640 0 0 0 0 0 0 0 
_1.ptx 104 : 50000 689360 0 0 0 0 0 0 0 
_1.ptx 105 : 50000 371984 0 0 0 0 0 0 0 
_1.ptx 106 : 50000 588944 0 0 0 0 0 0 0 
_1.ptx 107 : 50000 559888 0 0 0 0 0 0 0 
_1.ptx 108 : 50000 584912 0 0 0 0 0 0 0 
_1.ptx 109 : 50000 720816 200000 0 0 1563 1563 0 0 
_1.ptx 63 : 50176 321632 0 0 0 0 0 0 0 
_1.ptx 64 : 50176 325696 0 0 0 0 0 0 0 
_1.ptx 112 : 50176 360768 0 0 0 0 0 0 0 
_1.ptx 65 : 50176 828256 0 0 0 0 0 0 0 
_1.ptx 66 : 50176 318720 0 0 0 0 0 0 0 
_1.ptx 67 : 50176 565024 0 0 0 0 0 0 0 
_1.ptx 68 : 50176 4924480 128 0 0 0 0 0 0 
_1.ptx 69 : 50176 427808 0 0 0 0 0 0 0 
_1.ptx 70 : 50176 1072 0 0 0 0 0 0 1 
_1.ptx 72 : 50000 383664 0 0 0 0 0 0 0 
_1.ptx 73 : 50000 531200 0 0 0 0 0 0 0 
_1.ptx 74 : 50000 782448 0 0 0 0 0 0 0 
_1.ptx 75 : 50000 574288 0 0 0 0 0 0 0 
_1.ptx 76 : 50000 34219872 200064 0 0 1563 1563 0 0 
_1.ptx 78 : 50000 1323088 0 0 0 0 0 0 0 
_1.ptx 79 : 50000 571696 0 0 0 0 0 0 0 
_1.ptx 80 : 50000 29784976 200064 0 0 1563 1563 0 0 
_1.ptx 82 : 50000 579824 0 0 0 0 0 0 0 
_1.ptx 83 : 50000 582160 0 0 0 0 0 0 0 
_1.ptx 84 : 50000 583216 0 0 0 0 0 0 0 
_1.ptx 85 : 50000 583024 0 0 0 0 0 0 0 
_1.ptx 86 : 50000 598000 0 0 0 0 0 0 0 
_1.ptx 87 : 50000 596016 0 0 0 0 0 0 0 
_1.ptx 88 : 50000 383744 0 0 0 0 0 0 0 
_1.ptx 89 : 50000 590896 0 0 0 0 0 0 0 
_1.ptx 90 : 50000 581328 0 0 0 0 0 0 0 
_1.ptx 91 : 50000 588656 0 0 0 0 0 0 0 
_1.ptx 92 : 50000 366912 0 0 0 0 0 0 0 
_1.ptx 93 : 50000 583568 0 0 0 0 0 0 0 
